YEAR_MONTH,"REGIONAL_OFFICE_NAME","REGIONAL_OFFICE_CODE","ICB_NAME","ICB_CODE","PCO_NAME","PCO_CODE","PRACTICE_NAME","PRACTICE_CODE","ADDRESS_1","ADDRESS_2","ADDRESS_3","ADDRESS_4","POSTCODE","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR","BNF_CODE","BNF_DESCRIPTION","BNF_CHAPTER_PLUS_CODE",QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,"UNIDENTIFIED"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBABAB","Depakote 500mg gastro-resistant tablets","04: Central Nervous System","30.",4,"120.",50,"45.48","42.59618","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010J0","Dosulepin hydrochloride","0403010J0AAAAAA","Dosulepin 25mg capsules","04: Central Nervous System","28.",2,"56.",18.66667,"2.08","1.97064","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010J0","Dosulepin hydrochloride","0403010J0AAAAAA","Dosulepin 25mg capsules","04: Central Nervous System","40.",1,"40.",13.33333,"1.49","1.5063","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010J0","Dosulepin hydrochloride","0403010J0AAAAAA","Dosulepin 25mg capsules","04: Central Nervous System","84.",2,"168.",56,"6.24","5.86233","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010J0","Dosulepin hydrochloride","0403010J0AAAIAI","Dosulepin 75mg tablets","04: Central Nervous System","56.",3,"168.",168,"62.46","58.46859","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010J0","Dosulepin hydrochloride","0403010J0AAAIAI","Dosulepin 75mg tablets","04: Central Nervous System","28.",4,"112.",112,"41.64","39.00386","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010N0","Imipramine hydrochloride","0403010N0AAAEAE","Imipramine 25mg tablets","04: Central Nervous System","168.",1,"168.",56,"14.88","13.93265","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010N0","Imipramine hydrochloride","0403010N0AAAEAE","Imipramine 25mg tablets","04: Central Nervous System","112.",2,"224.",74.66667,"19.84","18.58514","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010R0","Lofepramine hydrochloride","0403010R0AAAAAA","Lofepramine 70mg tablets","04: Central Nervous System","168.",1,"168.",84,"40.74","38.12471","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010R0","Lofepramine hydrochloride","0403010R0AAAAAA","Lofepramine 70mg tablets","04: Central Nervous System","56.",2,"112.",56,"27.16","25.43301","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403010R0","Lofepramine hydrochloride","0403010R0AAAAAA","Lofepramine 70mg tablets","04: Central Nervous System","84.",4,"336.",168,"81.48","76.67422","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","14.",13,"182.",182,"5.2","6.3258","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","90.",8,"720.",720,"20.4","19.18342","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","28.",46,"1288.",1288,"36.34","39.1665","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","84.",9,"756.",756,"21.42","21.05003","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","112.",1,"112.",112,"3.17","3.07794","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","30.",22,"660.",660,"18.7","17.76667","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","70.",1,"70.",70,"1.98","1.96469","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","60.",29,"1740.",1740,"49.3","46.4798","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","56.",20,"1120.",1120,"31.8","31.99693","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","15.",1,"15.",15,"0.43","0.51467","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAAAA","Fluoxetine 20mg capsules","04: Central Nervous System","42.",1,"42.",42,"1.19","1.22565","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAACAC","Fluoxetine 20mg/5ml oral solution","04: Central Nervous System","210.",3,"630.",126,"32.58","30.51582","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAACAC","Fluoxetine 20mg/5ml oral solution","04: Central Nervous System","70.",2,"140.",28,"7.24","6.79783","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAACAC","Fluoxetine 20mg/5ml oral solution","04: Central Nervous System","350.",1,"350.",70,"18.1","16.94497","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAACAC","Fluoxetine 20mg/5ml oral solution","04: Central Nervous System","280.",1,"280.",56,"14.48","13.55845","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAACAC","Fluoxetine 20mg/5ml oral solution","04: Central Nervous System","140.",2,"280.",56,"14.48","13.57085","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0403030E0","Fluoxetine hydrochloride","0403030E0AAAEAE","Fluoxetine 60mg capsules","04: Central Nervous System","14.",1,"14.",42,"1.12","1.16016","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000182","Thealoz Duo eye drops preservative free","21: Appliances","20.",1,"20.",0,"17.98","16.83271","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","00P00","DR STEPHENSON & PARTNERS","A89010","VICTORIA ROAD HEALTH CTR","VICTORIA ROAD, CONCORD","WASHINGTON","TYNE & WEAR","NE37 2PU","2130","Eye Products","21300000703","Artelac Nighttime 0.2% eye gel","21: Appliances","40.",1,"40.",0,"11.84","11.08873","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000704","Xailin 0.2% eye gel","21: Appliances","10.",1,"10.",0,"3.39","3.18375","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000711","Xailin Night eye ointment preservative free","21: Appliances","5.",1,"5.",0,"2.6","2.4323","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000711","Xailin Night eye ointment preservative free","21: Appliances","20.",2,"40.",0,"20.8","19.48322","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","00P00","DR STEPHENSON & PARTNERS","A89010","VICTORIA ROAD HEALTH CTR","VICTORIA ROAD, CONCORD","WASHINGTON","TYNE & WEAR","NE37 2PU","2130","Eye Products","21300000906","Clinitas 0.2% eye drops 0.5ml unit dose preservative free","21: Appliances","5.",1,"5.",0,"0.93","0.98242","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000912","VisuXL Gel eye drops preservative free","21: Appliances","10.",1,"10.",0,"7.49","7.0069","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2130","Eye Products","21300000918","Viscotears HA 0.1% eye drops preservative free","21: Appliances","10.",1,"10.",0,"5.1","4.77105","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","00P00","DR STEPHENSON & PARTNERS","A89010","VICTORIA ROAD HEALTH CTR","VICTORIA ROAD, CONCORD","WASHINGTON","TYNE & WEAR","NE37 2PU","2230","Incontinence Sheaths","22303953124","Clear Advantage Spirit sheath style 2 pop-on 24mm","22: Incontinence Appliances","30.",1,"30.",0,"53.84","50.36737","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","00P00","DR STEPHENSON & PARTNERS","A89010","VICTORIA ROAD HEALTH CTR","VICTORIA ROAD, CONCORD","WASHINGTON","TYNE & WEAR","NE37 2PU","2230","Incontinence Sheaths","22303953125","Clear Advantage Spirit sheath style 2 pop-on 28mm","22: Incontinence Appliances","30.",1,"30.",0,"53.84","50.36737","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2250","Leg Bags","22500955008","Prosys sterile leg bag with slide tap 500ml short","22: Incontinence Appliances","20.",1,"20.",0,"53.68","50.21769","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2250","Leg Bags","22500955012","Prosys sterile leg bag with lever tap 500ml short","22: Incontinence Appliances","30.",1,"30.",0,"80.52","75.33894","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2250","Leg Bags","22500955013","Prosys sterile leg bag with lever tap 500ml long","22: Incontinence Appliances","50.",1,"50.",0,"134.2","125.54423","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","01H00","DISTINGTON SURGERY","A82023","THE SURGERY","HINNINGS ROAD, DISTINGTON","WORKINGTON","CUMBRIA","CA14 5UR","2250","Leg Bags","22501005067","Simpla Profile sterile leg bag 500ml tube 6cm","22: Incontinence Appliances","10.",1,"10.",0,"32.02","29.95474","N"
202205,"NORTH EAST AND YORKSHIRE","Y63","NHS NORTH EAST AND NORTH CUMBRIA INTEGRA","QHM","NHS NORTH EAST AND NORTH CUMBRIA ICB - 0","00P00","DR STEPHENSON & PARTNERS","A89010","VICTORIA ROAD HEALTH CTR","VICTORIA ROAD, CONCORD","WASHINGTON","TYNE & WEAR","NE37 2PU","2250","Leg Bags","22505055006","Careline sterile leg bag with lever tap short tube 500ml","22: Incontinence Appliances","10.",1,"10.",0,"27.19","25.44867","N"
